Group,Tank,Day,ZT,Chamber,FishCount
Experiment,1,1,0,1,-1
Experiment,2,1,0,1,-1
Experiment,3,1,0,1,-1
Experiment,1,1,0,2,-1
Experiment,2,1,0,2,-1
Experiment,3,1,0,2,-1
Experiment,1,1,0,3,-1
Experiment,2,1,0,3,-1
Experiment,3,1,0,3,-1
Experiment,1,1,0,4,-1
Experiment,2,1,0,4,-1
Experiment,3,1,0,4,-1
Experiment,1,1,0,5,-1
Experiment,2,1,0,5,-1
Experiment,3,1,0,5,-1
Experiment,1,1,1,1,-1
Experiment,2,1,1,1,-1
Experiment,3,1,1,1,-1
Experiment,1,1,1,2,-1
Experiment,2,1,1,2,-1
Experiment,3,1,1,2,-1
Experiment,1,1,1,3,-1
Experiment,2,1,1,3,-1
Experiment,3,1,1,3,-1
Experiment,1,1,1,4,-1
Experiment,2,1,1,4,-1
Experiment,3,1,1,4,-1
Experiment,1,1,1,5,-1
Experiment,2,1,1,5,-1
Experiment,3,1,1,5,-1
Experiment,1,1,2,1,-1
Experiment,2,1,2,1,-1
Experiment,3,1,2,1,-1
Experiment,1,1,2,2,-1
Experiment,2,1,2,2,-1
Experiment,3,1,2,2,-1
Experiment,1,1,2,3,-1
Experiment,2,1,2,3,-1
Experiment,3,1,2,3,-1
Experiment,1,1,2,4,-1
Experiment,2,1,2,4,-1
Experiment,3,1,2,4,-1
Experiment,1,1,2,5,-1
Experiment,2,1,2,5,-1
Experiment,3,1,2,5,-1
Experiment,1,1,3,1,3
Experiment,2,1,3,1,-1
Experiment,3,1,3,1,-1
Experiment,1,1,3,2,1.555555556
Experiment,2,1,3,2,-1
Experiment,3,1,3,2,-1
Experiment,1,1,3,3,4.222222222
Experiment,2,1,3,3,-1
Experiment,3,1,3,3,-1
Experiment,1,1,3,4,1.111111111
Experiment,2,1,3,4,-1
Experiment,3,1,3,4,-1
Experiment,1,1,3,5,2.111111111
Experiment,2,1,3,5,-1
Experiment,3,1,3,5,-1
Experiment,1,1,4,1,2.416666667
Experiment,2,1,4,1,-1
Experiment,3,1,4,1,1.016666667
Experiment,1,1,4,2,0.983333333
Experiment,2,1,4,2,-1
Experiment,3,1,4,2,0.483333333
Experiment,1,1,4,3,6.116666667
Experiment,2,1,4,3,-1
Experiment,3,1,4,3,7.966666667
Experiment,1,1,4,4,0.816666667
Experiment,2,1,4,4,-1
Experiment,3,1,4,4,0.55
Experiment,1,1,4,5,1.666666667
Experiment,2,1,4,5,-1
Experiment,3,1,4,5,1.983333333
Experiment,1,1,5,1,2.166666667
Experiment,2,1,5,1,-1
Experiment,3,1,5,1,1.183333333
Experiment,1,1,5,2,1.333333333
Experiment,2,1,5,2,-1
Experiment,3,1,5,2,0.666666667
Experiment,1,1,5,3,2.633333333
Experiment,2,1,5,3,-1
Experiment,3,1,5,3,7.533333333
Experiment,1,1,5,4,4.1
Experiment,2,1,5,4,-1
Experiment,3,1,5,4,0.716666667
Experiment,1,1,5,5,1.766666667
Experiment,2,1,5,5,-1
Experiment,3,1,5,5,1.9
Experiment,1,1,6,1,3.25
Experiment,2,1,6,1,-1
Experiment,3,1,6,1,0.95
Experiment,1,1,6,2,2
Experiment,2,1,6,2,-1
Experiment,3,1,6,2,0.483333333
Experiment,1,1,6,3,1.433333333
Experiment,2,1,6,3,-1
Experiment,3,1,6,3,7.933333333
Experiment,1,1,6,4,2.4
Experiment,2,1,6,4,-1
Experiment,3,1,6,4,0.95
Experiment,1,1,6,5,2.916666667
Experiment,2,1,6,5,-1
Experiment,3,1,6,5,1.683333333
Experiment,1,1,7,1,6.85
Experiment,2,1,7,1,-1
Experiment,3,1,7,1,0.733333333
Experiment,1,1,7,2,0.883333333
Experiment,2,1,7,2,-1
Experiment,3,1,7,2,0.15
Experiment,1,1,7,3,0.783333333
Experiment,2,1,7,3,-1
Experiment,3,1,7,3,3.75
Experiment,1,1,7,4,0.85
Experiment,2,1,7,4,-1
Experiment,3,1,7,4,1.483333333
Experiment,1,1,7,5,2.633333333
Experiment,2,1,7,5,-1
Experiment,3,1,7,5,5.883333333
Experiment,1,1,8,1,4.666666667
Experiment,2,1,8,1,0.767857143
Experiment,3,1,8,1,0.916666667
Experiment,1,1,8,2,1.4
Experiment,2,1,8,2,1.678571429
Experiment,3,1,8,2,0.383333333
Experiment,1,1,8,3,1.533333333
Experiment,2,1,8,3,2.982142857
Experiment,3,1,8,3,0.35
Experiment,1,1,8,4,1.383333333
Experiment,2,1,8,4,4
Experiment,3,1,8,4,0.983333333
Experiment,1,1,8,5,3.016666667
Experiment,2,1,8,5,2.571428571
Experiment,3,1,8,5,9.366666667
Experiment,1,1,9,1,2.716666667
Experiment,2,1,9,1,1.15
Experiment,3,1,9,1,0.7
Experiment,1,1,9,2,2.4
Experiment,2,1,9,2,2.383333333
Experiment,3,1,9,2,0.083333333
Experiment,1,1,9,3,2.3
Experiment,2,1,9,3,2.983333333
Experiment,3,1,9,3,0.416666667
Experiment,1,1,9,4,2.033333333
Experiment,2,1,9,4,3.133333333
Experiment,3,1,9,4,2.5
Experiment,1,1,9,5,2.55
Experiment,2,1,9,5,2.35
Experiment,3,1,9,5,8.3
Experiment,1,1,10,1,3.25
Experiment,2,1,10,1,0.883333333
Experiment,3,1,10,1,0.1
Experiment,1,1,10,2,2.683333333
Experiment,2,1,10,2,1.55
Experiment,3,1,10,2,0.483333333
Experiment,1,1,10,3,2.683333333
Experiment,2,1,10,3,2.766666667
Experiment,3,1,10,3,1.55
Experiment,1,1,10,4,1
Experiment,2,1,10,4,3.933333333
Experiment,3,1,10,4,2.266666667
Experiment,1,1,10,5,2.383333333
Experiment,2,1,10,5,2.866666667
Experiment,3,1,10,5,7.6
Experiment,1,1,11,1,3.066666667
Experiment,2,1,11,1,0.75
Experiment,3,1,11,1,1.016666667
Experiment,1,1,11,2,2.133333333
Experiment,2,1,11,2,2.133333333
Experiment,3,1,11,2,0.65
Experiment,1,1,11,3,2.766666667
Experiment,2,1,11,3,4.216666667
Experiment,3,1,11,3,1.783333333
Experiment,1,1,11,4,1.283333333
Experiment,2,1,11,4,2.366666667
Experiment,3,1,11,4,1.7
Experiment,1,1,11,5,2.75
Experiment,2,1,11,5,2.533333333
Experiment,3,1,11,5,6.85
Experiment,1,1,12,1,2.083333333
Experiment,2,1,12,1,1.05
Experiment,3,1,12,1,1.55
Experiment,1,1,12,2,5.433333333
Experiment,2,1,12,2,2.55
Experiment,3,1,12,2,1.083333333
Experiment,1,1,12,3,1.466666667
Experiment,2,1,12,3,3.433333333
Experiment,3,1,12,3,2.916666667
Experiment,1,1,12,4,1.05
Experiment,2,1,12,4,2.083333333
Experiment,3,1,12,4,2.35
Experiment,1,1,12,5,1.966666667
Experiment,2,1,12,5,2.883333333
Experiment,3,1,12,5,4.1
Experiment,1,1,13,1,2.15
Experiment,2,1,13,1,0.883333333
Experiment,3,1,13,1,1.55
Experiment,1,1,13,2,4.766666667
Experiment,2,1,13,2,2
Experiment,3,1,13,2,0.716666667
Experiment,1,1,13,3,2.5
Experiment,2,1,13,3,4.233333333
Experiment,3,1,13,3,2.816666667
Experiment,1,1,13,4,1.133333333
Experiment,2,1,13,4,1.9
Experiment,3,1,13,4,3.283333333
Experiment,1,1,13,5,1.45
Experiment,2,1,13,5,2.983333333
Experiment,3,1,13,5,3.633333333
Experiment,1,1,14,1,1.966666667
Experiment,2,1,14,1,1.133333333
Experiment,3,1,14,1,1.45
Experiment,1,1,14,2,5.116666667
Experiment,2,1,14,2,1.516666667
Experiment,3,1,14,2,1.45
Experiment,1,1,14,3,2.833333333
Experiment,2,1,14,3,3.466666667
Experiment,3,1,14,3,3.833333333
Experiment,1,1,14,4,1
Experiment,2,1,14,4,1.916666667
Experiment,3,1,14,4,2.683333333
Experiment,1,1,14,5,1.083333333
Experiment,2,1,14,5,3.966666667
Experiment,3,1,14,5,2.583333333
Experiment,1,1,15,1,2.116666667
Experiment,2,1,15,1,0.833333333
Experiment,3,1,15,1,1.416666667
Experiment,1,1,15,2,5.383333333
Experiment,2,1,15,2,4.566666667
Experiment,3,1,15,2,1.533333333
Experiment,1,1,15,3,2.233333333
Experiment,2,1,15,3,2.816666667
Experiment,3,1,15,3,3.816666667
Experiment,1,1,15,4,1.083333333
Experiment,2,1,15,4,2.016666667
Experiment,3,1,15,4,3.066666667
Experiment,1,1,15,5,1.183333333
Experiment,2,1,15,5,1.766666667
Experiment,3,1,15,5,2.166666667
Experiment,1,1,16,1,2.433333333
Experiment,2,1,16,1,2
Experiment,3,1,16,1,1.433333333
Experiment,1,1,16,2,5.733333333
Experiment,2,1,16,2,3.3
Experiment,3,1,16,2,1.866666667
Experiment,1,1,16,3,1.766666667
Experiment,2,1,16,3,1.366666667
Experiment,3,1,16,3,4.6
Experiment,1,1,16,4,0.966666667
Experiment,2,1,16,4,3.9
Experiment,3,1,16,4,2.266666667
Experiment,1,1,16,5,1.1
Experiment,2,1,16,5,1.433333333
Experiment,3,1,16,5,1.833333333
Experiment,1,1,17,1,2.383333333
Experiment,2,1,17,1,1.95
Experiment,3,1,17,1,1.6
Experiment,1,1,17,2,5.5
Experiment,2,1,17,2,4.4
Experiment,3,1,17,2,1.7
Experiment,1,1,17,3,2.016666667
Experiment,2,1,17,3,1.966666667
Experiment,3,1,17,3,4.633333333
Experiment,1,1,17,4,1.05
Experiment,2,1,17,4,2.3
Experiment,3,1,17,4,2.1
Experiment,1,1,17,5,1.05
Experiment,2,1,17,5,1.383333333
Experiment,3,1,17,5,1.966666667
Experiment,1,1,18,1,3.25
Experiment,2,1,18,1,2.1
Experiment,3,1,18,1,1.833333333
Experiment,1,1,18,2,5.15
Experiment,2,1,18,2,4.966666667
Experiment,3,1,18,2,1.933333333
Experiment,1,1,18,3,1.416666667
Experiment,2,1,18,3,1.583333333
Experiment,3,1,18,3,3.783333333
Experiment,1,1,18,4,1.016666667
Experiment,2,1,18,4,1.883333333
Experiment,3,1,18,4,2.066666667
Experiment,1,1,18,5,1.166666667
Experiment,2,1,18,5,1.466666667
Experiment,3,1,18,5,2.383333333
Experiment,1,1,19,1,2.216666667
Experiment,2,1,19,1,2.183333333
Experiment,3,1,19,1,2.783333333
Experiment,1,1,19,2,5.5
Experiment,2,1,19,2,4.783333333
Experiment,3,1,19,2,1.566666667
Experiment,1,1,19,3,1.883333333
Experiment,2,1,19,3,2.1
Experiment,3,1,19,3,3.833333333
Experiment,1,1,19,4,1.216666667
Experiment,2,1,19,4,1.833333333
Experiment,3,1,19,4,1.7
Experiment,1,1,19,5,1.183333333
Experiment,2,1,19,5,1.1
Experiment,3,1,19,5,2.116666667
Experiment,1,1,20,1,2.016666667
Experiment,2,1,20,1,2.066666667
Experiment,3,1,20,1,3.3
Experiment,1,1,20,2,6.283333333
Experiment,2,1,20,2,4.566666667
Experiment,3,1,20,2,1.45
Experiment,1,1,20,3,1.283333333
Experiment,2,1,20,3,2.966666667
Experiment,3,1,20,3,3
Experiment,1,1,20,4,1.433333333
Experiment,2,1,20,4,1.45
Experiment,3,1,20,4,1.616666667
Experiment,1,1,20,5,0.983333333
Experiment,2,1,20,5,0.95
Experiment,3,1,20,5,2.633333333
Experiment,1,1,21,1,2.95
Experiment,2,1,21,1,1.8
Experiment,3,1,21,1,2.7
Experiment,1,1,21,2,4.866666667
Experiment,2,1,21,2,4.116666667
Experiment,3,1,21,2,2.583333333
Experiment,1,1,21,3,2.033333333
Experiment,2,1,21,3,4.116666667
Experiment,3,1,21,3,2.5
Experiment,1,1,21,4,1.033333333
Experiment,2,1,21,4,1.2
Experiment,3,1,21,4,1.433333333
Experiment,1,1,21,5,1.116666667
Experiment,2,1,21,5,0.766666667
Experiment,3,1,21,5,2.783333333
Experiment,1,1,22,1,3.216666667
Experiment,2,1,22,1,1.366666667
Experiment,3,1,22,1,2.3
Experiment,1,1,22,2,4.25
Experiment,2,1,22,2,4.4
Experiment,3,1,22,2,1.6
Experiment,1,1,22,3,1.966666667
Experiment,2,1,22,3,3.083333333
Experiment,3,1,22,3,2.95
Experiment,1,1,22,4,1.283333333
Experiment,2,1,22,4,2.183333333
Experiment,3,1,22,4,1.883333333
Experiment,1,1,22,5,1.283333333
Experiment,2,1,22,5,0.966666667
Experiment,3,1,22,5,3.266666667
Experiment,1,1,23,1,2.65
Experiment,2,1,23,1,1.1
