Chamber,ElapsedDays,pr_mn,pr_lo,pr_hi,M_mn,M_lo,M_hi,A_mn,A_lo,A_hi,phi_mn,Group,Species
1,0,0.209969441,0.099453012,0.33688529,0.167668094,0.086547711,0.263268105,0.292579029,0.033021498,0.603640098,22.9876157,Experiment,Zebrafish
1,0.041666667,0.209326747,0.102475492,0.340668783,0.167743309,0.087281007,0.262978072,0.293651397,0.034251602,0.603908423,22.99863666,Experiment,Zebrafish
1,0.083333333,0.203773035,0.09524359,0.330042292,0.167817394,0.087802777,0.26267304,0.294739946,0.032574092,0.60108229,23.00965763,Experiment,Zebrafish
1,0.125,0.194347343,0.089238526,0.315528031,0.167890344,0.088270008,0.262649474,0.295844941,0.033158321,0.600754159,23.02067859,Experiment,Zebrafish
1,0.166666667,0.182581861,0.085805024,0.301219849,0.167962128,0.0855208,0.259202369,0.296966644,0.033748157,0.600096733,23.03169914,Experiment,Zebrafish
1,0.208333333,0.170127355,0.072842714,0.276716239,0.168032581,0.086172654,0.258850935,0.298105274,0.033239566,0.598244329,23.04271685,Experiment,Zebrafish
1,0.25,0.158430311,0.067057032,0.259794988,0.168101396,0.086567551,0.258306253,0.299261,0.034099383,0.59802891,23.05372699,Experiment,Zebrafish
1,0.291666667,0.148520449,0.061510177,0.243243645,0.168168137,0.086955906,0.257858306,0.300433936,0.034890663,0.597390257,23.06472276,Experiment,Zebrafish
1,0.333333333,0.140963381,0.05855253,0.232712648,0.168232254,0.087382334,0.257833522,0.301624141,0.033421339,0.594421631,23.07569541,Experiment,Zebrafish
1,0.375,0.135906008,0.054551805,0.224750003,0.168293101,0.087324057,0.257205133,0.302831615,0.036531352,0.596675451,23.08663446,Experiment,Zebrafish
1,0.416666667,0.13315626,0.053547974,0.218460816,0.168349946,0.088014192,0.256971394,0.304056301,0.038805238,0.599589376,23.09752789,Experiment,Zebrafish
1,0.458333333,0.132276965,0.055897601,0.217892222,0.168401991,0.088208616,0.256736079,0.305298083,0.0381824,0.598475868,23.10836225,Experiment,Zebrafish
1,0.5,0.132715339,0.056460048,0.216560379,0.168448383,0.08938376,0.25713414,0.306556784,0.038741139,0.597661935,23.11912292,Experiment,Zebrafish
1,0.541666667,0.13398268,0.058012301,0.22041557,0.168488227,0.089726748,0.256912017,0.307832166,0.039554154,0.597024891,23.1297942,Experiment,Zebrafish
1,0.583333333,0.135855989,0.059096799,0.224679493,0.168520602,0.08955183,0.256031719,0.309123931,0.042657914,0.598919569,23.14035953,Experiment,Zebrafish
1,0.625,0.13848741,0.058008098,0.229033297,0.168544567,0.089787677,0.25553325,0.310431717,0.044107833,0.599055651,23.15080164,Experiment,Zebrafish
1,0.666666667,0.14232426,0.059632284,0.237590945,0.168559183,0.088375237,0.25380962,0.311755104,0.045438822,0.600494845,23.16110269,Experiment,Zebrafish
1,0.708333333,0.147887894,0.063853475,0.251127538,0.168563515,0.093236448,0.258022507,0.313093613,0.042450645,0.596683138,23.17124447,Experiment,Zebrafish
1,0.75,0.155541144,0.06583246,0.261409725,0.168556646,0.093255824,0.257227314,0.314446703,0.047150403,0.601113332,23.1812085,Experiment,Zebrafish
1,0.791666667,0.165289958,0.07097398,0.274966864,0.168537688,0.093436854,0.257077589,0.315813778,0.047970135,0.601647252,23.19097621,Experiment,Zebrafish
1,0.833333333,0.176612863,0.080333515,0.290785597,0.16850579,0.090274632,0.2532619,0.317194188,0.057543365,0.609931029,23.20052909,Experiment,Zebrafish
1,0.875,0.188351382,0.094230969,0.30791699,0.168460145,0.090410139,0.252552203,0.318587228,0.060715577,0.610594112,23.2098488,Experiment,Zebrafish
1,0.916666667,0.198773296,0.098523819,0.313747426,0.168400002,0.09078765,0.252275959,0.319992145,0.061136507,0.609848754,23.21891731,Experiment,Zebrafish
1,0.958333333,0.205936947,0.10494772,0.320184171,0.168324668,0.090578992,0.251351159,0.321408138,0.062715163,0.610988511,23.22771702,Experiment,Zebrafish
1,1,0.208324537,0.104396389,0.321117923,0.16823352,0.090876037,0.251199608,0.322834366,0.068035106,0.615212957,23.2362309,Experiment,Zebrafish
1,1.041666667,0.205436386,0.102494897,0.316345549,0.168126005,0.091094385,0.250902759,0.324269946,0.06082585,0.606673029,23.24444258,Experiment,Zebrafish
1,1.083333333,0.197962106,0.096362578,0.306999295,0.16800165,0.09204802,0.251372882,0.32571396,0.060864522,0.60629649,23.25233645,Experiment,Zebrafish
1,1.125,0.187443875,0.091125517,0.295292145,0.167860064,0.092124585,0.25061097,0.32716546,0.064867482,0.609487497,23.25989777,Experiment,Zebrafish
1,1.166666667,0.175695879,0.081401879,0.277001347,0.167700942,0.092183267,0.250223751,0.328623472,0.069605895,0.612789859,23.26711275,Experiment,Zebrafish
1,1.208333333,0.164306429,0.075805468,0.262370944,0.16752407,0.092750203,0.250236782,0.330087001,0.070567144,0.612449395,23.27396864,Experiment,Zebrafish
1,1.25,0.154380846,0.071009482,0.248160839,0.167329327,0.093355938,0.250189633,0.331555033,0.070627875,0.611010289,23.28045378,Experiment,Zebrafish
1,1.291666667,0.146503126,0.065183596,0.233363294,0.167116685,0.091616008,0.248094886,0.333026544,0.072535101,0.611741414,23.2865577,Experiment,Zebrafish
1,1.333333333,0.140815063,0.063962572,0.224226512,0.166886213,0.091716485,0.247317946,0.334500501,0.073545423,0.611272737,23.29227114,Experiment,Zebrafish
1,1.375,0.137126768,0.063945693,0.218074557,0.166638079,0.092881077,0.247650053,0.335975869,0.075516072,0.612759966,23.29758612,Experiment,Zebrafish
1,1.416666667,0.135024936,0.063402423,0.2128446,0.166372548,0.092918124,0.247012539,0.337451613,0.078117117,0.61520321,23.30249597,Experiment,Zebrafish
1,1.458333333,0.133989101,0.060828955,0.208141535,0.166089981,0.092586229,0.245866033,0.338926704,0.079227082,0.615498235,23.30699535,Experiment,Zebrafish
1,1.5,0.133541032,0.064050002,0.210797621,0.165790839,0.093093775,0.245722226,0.340400122,0.081769678,0.616933094,23.31108032,Experiment,Zebrafish
1,1.541666667,0.13342301,0.064338465,0.2130603,0.165475678,0.093045742,0.244863239,0.341870862,0.081240503,0.617307862,23.31474827,Experiment,Zebrafish
1,1.583333333,0.133731222,0.061665613,0.214901544,0.165145147,0.092974021,0.244234643,0.343337933,0.076319584,0.612620539,23.31799803,Experiment,Zebrafish
1,1.625,0.13490143,0.063647626,0.2214446,0.164799991,0.091850703,0.242431197,0.344800364,0.077322435,0.613399438,23.32082976,Experiment,Zebrafish
1,1.666666667,0.137539322,0.063963647,0.227600267,0.16444104,0.092943415,0.242895078,0.346257204,0.082332912,0.618652233,23.32324502,Experiment,Zebrafish
1,1.708333333,0.142200482,0.063334055,0.233786729,0.164069212,0.091978828,0.241215678,0.347707528,0.080353957,0.616125743,23.32524673,Experiment,Zebrafish
1,1.75,0.149200765,0.06459217,0.243214026,0.163685506,0.092103369,0.240611021,0.349150436,0.082849117,0.617885912,23.32683912,Experiment,Zebrafish
1,1.791666667,0.158454456,0.076565344,0.261481874,0.163291,0.09213505,0.240048273,0.350585056,0.085990349,0.620493425,23.32802774,Experiment,Zebrafish
1,1.833333333,0.169323543,0.07797763,0.266679701,0.162886843,0.091857739,0.239385444,0.352010543,0.094220962,0.628233591,23.3288194,Experiment,Zebrafish
1,1.875,0.180528952,0.090302644,0.282273489,0.16247425,0.093193684,0.240055968,0.353426081,0.088422515,0.622178937,23.32922209,Experiment,Zebrafish
1,1.916666667,0.19026147,0.09873966,0.291488992,0.162054498,0.091148133,0.23721894,0.354830887,0.089762954,0.622389909,23.32924502,Experiment,Zebrafish
1,1.958333333,0.196617031,0.105640125,0.299986953,0.161628917,0.094856272,0.24026056,0.356224204,0.092434172,0.623311901,23.32889846,Experiment,Zebrafish
