Group,Day,chamber_1,chamber_2,chamber_3,chamber_4,chamber_5
Experiment,1,24.278,26.054,28.505,30.366,31.448
Experiment,2,24.46,26.061,28.415,30.196,31.205
Experiment,3,24.403,25.727,28.069,29.708,30.782
Experiment,4,24.534,25.641,28.017,29.601,30.486
Experiment,5,24.854,26.028,28.523,29.858,30.788
Experiment,6,24.951,26.12,28.65,30.212,31.139
Experiment,7,24.733,26.198,28.658,29.897,31.042
Experiment,8,24.516,26.102,28.214,29.766,31.122
Experiment,9,24.583,26.174,28.044,29.747,31.068
Experiment,10,24.487,26.208,28.177,30.023,31.38
Experiment,11,24.294,25.984,28.036,29.831,31.13
Experiment,12,24.036,26.026,28.115,29.737,30.987
Experiment,13,24.091,26.01,28.242,29.966,31.398
Control,1,26.37,26.655,26.344,26.476,26.08
Control,2,26.602,26.807,26.472,26.762,26.307
Control,3,26.208,26.623,26.359,26.642,26.227
Control,4,26,26.445,26.256,26.527,26.156
Control,5,26,26.385,26.102,26.486,26.024
Control,6,26,26.432,26.115,26.5,26.039
